proposer_name,responder_name,proposer_race,responder_race
Ms. Chavez,Mr. Yellowhair,Hispanic,Native
Ms. Oconnor,Ms. Benallie,White,Native
Ms. Su,Ms. Kim,Asian,Asian
Ms. Sandoval,Mr. Bitsuie,Hispanic,Native
Mr. Leaks,Mr. Espinoza,Black,Hispanic
Mr. Jacobson,Mr. Saintil,White,Black
Mr. Dougherty,Ms. Torres,White,Hispanic
Mr. Truong,Mr. Shaffer,Asian,White
Mr. Cosay,Ms. Diallo,Native,Black
Mr. Wigfall,Mr. Werito,Black,Native
Ms. Chiu,Mr. Tan,Asian,Asian
Ms. Jama,Ms. Castillo,Black,Hispanic
Ms. Salas,Ms. Weber,Hispanic,White
Mr. Cabrera,Mr. Le,Hispanic,Asian
Mr. Jama,Ms. Castillo,Black,Hispanic
Ms. Tapaha,Ms. Metellus,Native,Black
Mr. Oneill,Mr. Dang,White,Asian
Mr. Zhou,Mr. Parsons,Asian,White
Mr. Martinez,Mr. Guzman,Hispanic,Hispanic
Mr. Gomez,Ms. Mohamud,Hispanic,Black
Ms. Hernandez,Mr. Kramer,Hispanic,White
Mr. Sun,Ms. Dorvil,Asian,Black
Mr. Chavez,Ms. Nwosu,Hispanic,Black
Mr. Dayzie,Ms. Padilla,Native,Hispanic
Mr. Fischer,Mr. Nunez,White,Hispanic
Mr. Olson,Ms. Dominguez,White,Hispanic
Ms. Villarreal,Ms. Salas,Hispanic,Hispanic
Mr. Medina,Mr. Castaneda,Hispanic,Hispanic
Mr. Asante,Mr. Castaneda,Black,Hispanic
Mr. Lasiloo,Mr. Rodriguez,Native,Hispanic
Ms. Knapp,Mr. Ko,White,Asian
Ms. Eriacho,Mr. Littledog,Native,Native
Ms. Macdonald,Mr. Ajayi,White,Black
Ms. Ly,Mr. Russo,Asian,White
Mr. Decker,Ms. Cowboy,White,Native
Mr. Notah,Ms. Spottedhorse,Native,Native
Mr. Ganadonegro,Ms. Balogun,Native,Black
Ms. Desai,Ms. Gadson,Asian,Black
Mr. Mora,Ms. Desta,Hispanic,Black
Ms. Wolfe,Ms. Cabrera,White,Hispanic
Ms. Spottedhorse,Ms. Perez,Native,Hispanic
Mr. Marquez,Ms. Luong,Hispanic,Asian
Ms. Tsosie,Mr. Bigcrow,Native,Native
Ms. Dorvil,Ms. Keita,Black,Black
Mr. Altaha,Ms. Ortiz,Native,Hispanic
Mr. Xiong,Mr. Peck,Asian,White
Ms. Wagner,Ms. Tsethlikai,White,Native
Ms. Brennan,Mr. Lopez,White,Hispanic
Mr. Blackhorse,Ms. Gallegos,Native,Hispanic
Ms. Poorbear,Ms. Fofana,Native,Black
Ms. Vue,Ms. Okafor,Asian,Black
Mr. Straughter,Mr. Munoz,Black,Hispanic
Mr. Traore,Mr. Fuentes,Black,Hispanic
Ms. Sesay,Mr. Chen,Black,Asian
Mr. Alvarado,Ms. Kwon,Hispanic,Asian
Mr. Shin,Mr. Aguirre,Asian,Hispanic
Ms. Hwang,Ms. Gao,Asian,Asian
Mr. Okoro,Mr. Wang,Black,Asian
Ms. Yepa,Ms. Schultz,Native,White
Mr. Walkingeagle,Ms. Krueger,Native,White
Mr. Vu,Ms. Medina,Asian,Hispanic
Mr. Avila,Ms. Hernandez,Hispanic,Hispanic
Ms. Tan,Ms. Whitehat,Asian,Native
Ms. Juarez,Mr. Sharma,Hispanic,Asian
Ms. Werito,Ms. Ko,Native,Asian
Mr. Cline,Mr. Brennan,White,White
Mr. Warsame,Mr. Gallagher,Black,White
Ms. Hoover,Mr. Desir,White,Black
Mr. Swanson,Mr. Schwartz,White,White
Mr. Cho,Mr. Yoder,Asian,White
Ms. Sanchez,Ms. Dorvil,Hispanic,Black
Ms. Ly,Ms. Leung,Asian,Asian
Mr. Addo,Mr. Goseyun,Black,Native
Ms. Cowboy,Ms. Salazar,Native,Hispanic
Ms. Bitsuie,Ms. Rodriguez,Native,Hispanic
Ms. Boateng,Mr. Oconnor,Black,White
Mr. Tadesse,Ms. Apachito,Black,Native
Mr. Claw,Mr. Kebede,Native,Black
Ms. Koroma,Ms. Louissaint,Black,Black
Ms. Yellowman,Ms. Thai,Native,Asian
Ms. Cowboy,Ms. Sharma,Native,Asian
Mr. Ochoa,Ms. Vasquez,Hispanic,Hispanic
Mr. Cheng,Mr. Nguyen,Asian,Asian
Ms. Yoo,Ms. Maldonado,Asian,Hispanic
Ms. Arias,Ms. Delgado,Hispanic,Hispanic
Mr. Talayumptewa,Ms. Altaha,Native,Native
Mr. Sanchez,Ms. Dorvil,Hispanic,Black
Ms. Opoku,Mr. Barrera,Black,Hispanic
Mr. Flores,Mr. Tan,Hispanic,Asian
Ms. Meyer,Mr. Nielsen,White,White
Ms. Sandoval,Ms. Bitsuie,Hispanic,Native
Mr. Oneill,Ms. Erickson,White,White
Ms. Ortega,Ms. Gutierrez,Hispanic,Hispanic
Ms. Ayala,Ms. Stark,Hispanic,White
Ms. Ortiz,Ms. Tsinnie,Hispanic,Native
Mr. Cayaditto,Mr. Berhane,Native,Black
Mr. Yazzie,Mr. Henio,Native,Native
Ms. Dosela,Mr. Osei,Native,Black
Mr. Boykins,Ms. Dao,Black,Asian
Ms. Opoku,Mr. Twobulls,Black,Native
Ms. Tabaha,Mr. Kidane,Native,Black
Mr. Pierrelouis,Mr. Saintlouis,Black,Black
Ms. Hsu,Ms. Santana,Asian,Hispanic
Mr. Sesay,Ms. Chen,Black,Asian
Ms. Manygoats,Mr. Wu,Native,Asian
Mr. Salinas,Ms. Swanson,Hispanic,White
Mr. Yohannes,Mr. Delgarito,Black,Native
Mr. Arcoren,Ms. Castillo,Native,Hispanic
Ms. Dang,Mr. Warsame,Asian,Black
Ms. Tadesse,Mr. Rodriguez,Black,Hispanic
Ms. Stfleur,Mr. Arcoren,Black,Native
Ms. Vue,Ms. Walsh,Asian,White
Ms. Gishie,Mr. Perez,Native,Hispanic
Mr. Okoro,Ms. Wang,Black,Asian
Mr. Shah,Mr. Chiu,Asian,Asian
Mr. Hansen,Ms. Ndiaye,White,Black
Mr. Bitsuie,Ms. Kwon,Native,Asian
Ms. Moua,Ms. Shaffer,Asian,White
Mr. Bekele,Ms. Gomez,Black,Hispanic
Ms. Duong,Ms. Benally,Asian,Native
Ms. Hosteen,Mr. Dorvil,Native,Black
Ms. Castillo,Ms. Morales,Hispanic,Hispanic
Mr. Yazzie,Ms. Sesay,Native,Black
Ms. Ma,Ms. Coaxum,Asian,Black
Mr. Hebert,Mr. Hoover,White,White
Mr. Koroma,Ms. Lim,Black,Asian
Mr. Mahoney,Ms. Coaxum,White,Black
Ms. Torres,Ms. Schaefer,Hispanic,White
Mr. Sharma,Mr. Vazquez,Asian,Hispanic
Mr. Ko,Ms. Boyle,Asian,White
Ms. Metellus,Mr. Thao,Black,Asian
Ms. Bui,Mr. Molina,Asian,Hispanic
Ms. Keita,Mr. Schultz,Black,White
Ms. Meza,Mr. Henio,Hispanic,Native
Mr. Campos,Ms. Flynn,Hispanic,White
Mr. Lu,Mr. Tsosie,Asian,Native
Ms. Liu,Ms. Avila,Asian,Hispanic
Mr. Asare,Ms. Kwon,Black,Asian
Ms. Herman,Ms. Lawal,White,Black
Ms. Yohannes,Mr. Ruiz,Black,Hispanic
Ms. Yepa,Ms. Soto,Native,Hispanic
Ms. Hensley,Ms. Meza,White,Hispanic
Mr. Perez,Mr. Delgarito,Hispanic,Native
Mr. Blackgoat,Mr. Jeanpierre,Native,Black
Ms. Njoroge,Mr. Brennan,Black,White
Mr. Todacheenie,Ms. Hansen,Native,White
Mr. Huynh,Mr. Yellowhair,Asian,Native
Mr. Vang,Mr. Clah,Asian,Native
Ms. Roanhorse,Ms. Case,Native,White
Ms. Smallcanyon,Ms. Vega,Native,Hispanic
Mr. Hahn,Mr. Mensah,White,Black
Ms. Ma,Ms. Duong,Asian,Asian
Ms. Veasley,Mr. Spottedeagle,Black,Native
Mr. Le,Ms. Bauer,Asian,White
Mr. Ha,Mr. Delgarito,Asian,Native
Mr. Berger,Ms. Avila,White,Hispanic
Ms. Petersen,Ms. Munoz,White,Hispanic
Ms. Rangel,Ms. Belizaire,Hispanic,Black
Ms. Claw,Mr. Tam,Native,Asian
Mr. Mehta,Mr. Hwang,Asian,Asian
Ms. Begum,Ms. Ajayi,Asian,Black
Mr. Wassillie,Mr. Standingrock,Native,Native
Ms. Whiteplume,Mr. Stark,Native,White
Mr. Henio,Ms. Heavyrunner,Native,Native
Ms. Snyder,Ms. Meza,White,Hispanic
Mr. Sharma,Mr. Hess,Asian,White
Ms. Filsaime,Ms. Madplume,Black,Native
Mr. Meyer,Mr. Yang,White,Asian
Mr. Zhao,Mr. Su,Asian,Asian
Mr. Huynh,Mr. Conteh,Asian,Black
Mr. Coaxum,Ms. Todacheene,Black,Native
Ms. Atcitty,Mr. Clitso,Native,Native
Ms. Exantus,Mr. Parsons,Black,White
Ms. Bekele,Mr. Conteh,Black,Black
Ms. Chowdhury,Ms. Trevino,Asian,Hispanic
Mr. Chu,Ms. Lo,Asian,Asian
Ms. Bui,Mr. Tang,Asian,Asian
Mr. Prophete,Ms. Rosales,Black,Hispanic
Ms. Klein,Ms. Ngo,White,Asian
Ms. Mehta,Mr. Lara,Asian,Hispanic
Mr. Bitsilly,Mr. Odonnell,Native,White
Ms. Ndiaye,Mr. Dong,Black,Asian
Ms. Lor,Ms. Tadesse,Asian,Black
Mr. Kamara,Mr. Shije,Black,Native
Mr. Yepa,Mr. Runningcrane,Native,Native
Ms. Tang,Ms. Juarez,Asian,Hispanic
Mr. Begum,Ms. Santana,Asian,Hispanic
Mr. Metellus,Mr. Schultz,Black,White
Mr. Barrera,Mr. Fobbs,Hispanic,Black
Ms. Benallie,Ms. Flynn,Native,White
Ms. Traore,Mr. Notafraid,Black,Native
Ms. Hartman,Mr. Benally,White,Native
Mr. Mehta,Mr. Beyene,Asian,Black
Ms. Herman,Ms. Alvarez,White,Hispanic
Ms. Notah,Ms. Vu,Native,Asian
Ms. Zheng,Mr. Jiang,Asian,Asian
Ms. Bienaime,Mr. Louissaint,Black,Black
Mr. Morse,Ms. Ramirez,White,Hispanic
Mr. Howe,Mr. Tsinnijinnie,White,Native
Ms. Obrien,Ms. Hardnett,White,Black
Mr. Leaks,Mr. Morse,Black,White
Mr. Galvan,Mr. Becenti,Hispanic,Native
Ms. Arias,Ms. Larson,Hispanic,White
Ms. Hailu,Ms. Notah,Black,Native
Mr. Schaefer,Ms. Mekonnen,White,Black
Ms. Peshlakai,Ms. Bauer,Native,White
Ms. Pierrelouis,Mr. Cowboy,Black,Native
Mr. Hurley,Mr. Dang,White,Asian
Mr. Stark,Ms. Krueger,White,White
Mr. Koch,Mr. Belizaire,White,Black
Ms. Diaz,Ms. Alvarado,Hispanic,Hispanic
Ms. Sow,Ms. Tsethlikai,Black,Native
Mr. Spottedhorse,Ms. Knapp,Native,White
Ms. Littledog,Ms. Swanson,Native,White
Mr. Berg,Ms. Phan,White,Asian
Ms. Pena,Mr. Ravenell,Hispanic,Black
Mr. Johnston,Ms. Sandoval,White,Hispanic
Ms. Koroma,Ms. Cardenas,Black,Hispanic
Ms. Boyle,Mr. Sexton,White,White
Ms. Attakai,Ms. Xu,Native,Asian
Ms. Vang,Ms. Contreras,Asian,Hispanic
Ms. Salinas,Ms. Chiu,Hispanic,Asian
Mr. Sow,Ms. Kang,Black,Asian
Mr. Grandberry,Ms. Lo,Black,Asian
Ms. Thao,Mr. Cheung,Asian,Asian
Mr. Trinh,Ms. Snyder,Asian,White
Ms. Vassell,Ms. Ryan,Black,White
Ms. Hoang,Ms. Beyene,Asian,Black
Ms. Rojas,Mr. Hardnett,Hispanic,Black
Ms. Hess,Mr. Addo,White,Black
Ms. Twobulls,Ms. Bitsie,Native,Native
Ms. Huber,Mr. Ahasteen,White,Native
Ms. Moreno,Ms. Hailu,Hispanic,Black
Mr. Figueroa,Mr. Johnston,Hispanic,White
Mr. Dang,Mr. Guerrero,Asian,Hispanic
Mr. Moyer,Mr. Moreno,White,Hispanic
Mr. Ibarra,Mr. Avila,Hispanic,Hispanic
Ms. Secatero,Ms. Olsen,Native,White
Ms. Moyer,Mr. Rasmussen,White,White
Ms. Oneill,Mr. Gonzalez,White,Hispanic
Ms. Spottedeagle,Mr. Cho,Native,Asian
Ms. Li,Mr. Sow,Asian,Black
Mr. Cervantes,Ms. Zhang,Hispanic,Asian
Ms. Gupta,Ms. Stout,Asian,White
Mr. Tessay,Mr. Johnston,Native,White
Mr. Roanhorse,Ms. Case,Native,White
Mr. Kanuho,Mr. Jeanfrancois,Native,Black
Mr. Jeanpierre,Mr. Arcoren,Black,Native
Mr. Runningcrane,Mr. Friedman,Native,White
Ms. Lopez,Mr. Ryan,Hispanic,White
Mr. Crane,Ms. Mensah,White,Black
Ms. Cheung,Mr. Chu,Asian,Asian
Mr. Gallagher,Mr. Delgarito,White,Native
Mr. Ko,Ms. Notafraid,Asian,Native
Ms. Cosay,Mr. Diallo,Native,Black
Ms. Manygoats,Ms. Espinoza,Native,Hispanic
Mr. Littlewhiteman,Ms. Beyene,Native,Black
Mr. Shaffer,Mr. Owusu,White,Black
Mr. Talayumptewa,Ms. Mondesir,Native,Black
Mr. Huffman,Ms. Blackgoat,White,Native
Ms. Standingrock,Ms. Fofana,Native,Black
Mr. Pierrelouis,Ms. Ortega,Black,Hispanic
Mr. Cardenas,Mr. Prophete,Hispanic,Black
Mr. Salazar,Ms. Yang,Hispanic,Asian
Mr. Werito,Ms. Ravenell,Native,Black
Mr. Bui,Mr. Cisse,Asian,Black
Ms. Boateng,Mr. Apachito,Black,Native
Mr. Jeancharles,Mr. Sexton,Black,White
Ms. Blackhorse,Mr. Littlewhiteman,Native,Native
Mr. Schwartz,Mr. Molina,White,Hispanic
Mr. Herrera,Mr. Cabrera,Hispanic,Hispanic
Mr. Lesane,Mr. Chery,Black,Black
Ms. Kamara,Mr. Wu,Black,Asian
Mr. Olsen,Ms. Huffman,White,White
Ms. Vang,Mr. Fobbs,Asian,Black
Ms. Jeanjacques,Mr. Chery,Black,Black
Ms. He,Mr. Secody,Asian,Native
Mr. Keams,Mr. Ahasteen,Native,Native
Mr. Yeboah,Mr. Duong,Black,Asian
Ms. Lu,Mr. Tsosie,Asian,Native
Mr. Dayzie,Ms. Yellowhair,Native,Native
Mr. Kallestewa,Mr. Lim,Native,Asian
Mr. Sesay,Ms. Beyale,Black,Native
Ms. Orozco,Ms. Abebe,Hispanic,Black
Ms. Asante,Ms. Cephas,Black,Black
Mr. Cardenas,Mr. Hwang,Hispanic,Asian
Mr. Dinh,Ms. Whiteplume,Asian,Native
Ms. Exantus,Mr. Tesfaye,Black,Black
Ms. Kallestewa,Mr. Boyle,Native,White
Mr. Soto,Mr. Smallcanyon,Hispanic,Native
Mr. Jeanfrancois,Ms. Zhou,Black,Asian
Mr. Nielsen,Ms. Ulysse,White,Black
Mr. Hensley,Mr. Meza,White,Hispanic
Mr. Kang,Ms. Vasquez,Asian,Hispanic
Ms. Tsethlikai,Ms. Stfleur,Native,Black
Ms. Vo,Mr. Bui,Asian,Asian
Mr. Birdinground,Ms. Sharma,Native,Asian
Mr. Case,Ms. Sexton,White,White
Mr. Cao,Ms. Arcoren,Asian,Native
Ms. Kanuho,Ms. Twobulls,Native,Native
Ms. Gao,Ms. Yoo,Asian,Asian
Ms. Diop,Ms. Gallegos,Black,Hispanic
Mr. Cardenas,Ms. Berger,Hispanic,White
Ms. Bekele,Ms. Conteh,Black,Black
Mr. Tesfaye,Ms. Tang,Black,Asian
Mr. Fry,Mr. Tadesse,White,Black
Mr. Ravenell,Ms. Cowboy,Black,Native
Mr. Boateng,Mr. Oconnor,Black,White
Ms. Cephas,Mr. Foley,Black,White
Ms. Chowdhury,Ms. Brennan,Asian,White
Mr. Wang,Ms. Yellowhair,Asian,Native
Ms. Molina,Mr. Yi,Hispanic,Asian
Mr. Duffy,Ms. Whiteplume,White,Native
Ms. Kanuho,Mr. Hwang,Native,Asian
Mr. Moreno,Ms. Etsitty,Hispanic,Native
Ms. Pham,Ms. Zhang,Asian,Asian
Mr. Weber,Mr. Roanhorse,White,Native
Mr. Poorbear,Ms. Gao,Native,Asian
Ms. Chinana,Ms. Toure,Native,Black
Ms. Hebert,Mr. Sesay,White,Black
Ms. Gonzalez,Mr. Nez,Hispanic,Native
Ms. Contreras,Ms. Huang,Hispanic,Asian
Ms. Erickson,Ms. Medina,White,Hispanic
Mr. Dong,Mr. Martinez,Asian,Hispanic
Ms. Declay,Ms. Brennan,Native,White
Mr. Brandt,Ms. Ethelbah,White,Native
Mr. Sow,Mr. Kang,Black,Asian
Mr. Huynh,Mr. Orozco,Asian,Hispanic
Mr. Rasmussen,Mr. Whitehat,White,Native
Mr. Meyer,Ms. Tsinnie,White,Native
Ms. Ortega,Mr. Foley,Hispanic,White
Ms. Thai,Mr. Todacheene,Asian,Native
Mr. Hwang,Ms. Keyonnie,Asian,Native
Ms. Bitsuie,Ms. Poorbear,Native,Native
Ms. Ajayi,Mr. Olson,Black,White
Mr. Ramirez,Mr. Trinh,Hispanic,Asian
Ms. Yazzie,Ms. Henio,Native,Native
Mr. Hartman,Ms. Benally,White,Native
Ms. Larsen,Ms. Zamora,White,Hispanic
Ms. Mekonnen,Ms. Alvarado,Black,Hispanic
Mr. Begum,Ms. Wolf,Asian,White
Ms. Etcitty,Ms. Exantus,Native,Black
Ms. Alvarado,Mr. Sexton,Hispanic,White
Mr. Stout,Ms. Ma,White,Asian
Ms. Truong,Mr. Luu,Asian,Asian
Mr. Smalls,Mr. Stein,Black,White
Mr. Lai,Ms. Smallcanyon,Asian,Native
Ms. Schmidt,Ms. Tsethlikai,White,Native
Mr. Rodriguez,Ms. Hernandez,Hispanic,Hispanic
Mr. Salas,Mr. Notah,Hispanic,Native
Mr. Howe,Ms. Tran,White,Asian
Ms. Prioleau,Ms. Sexton,Black,White
Mr. Cephas,Ms. Foley,Black,White
Ms. Oh,Ms. Xiong,Asian,Asian
Mr. Martinez,Mr. Hoang,Hispanic,Asian
Ms. Etsitty,Mr. Jeanfrancois,Native,Black
Ms. Rosales,Ms. Clitso,Hispanic,Native
Ms. Kameroff,Ms. Ochoa,Native,Hispanic
Ms. Hoover,Ms. Eriacho,White,Native
Ms. Hardnett,Mr. Conteh,Black,Black
Mr. Mondesir,Ms. Tan,Black,Asian
Mr. Escobar,Mr. Eriacho,Hispanic,Native
Mr. Chasinghawk,Ms. Asante,Native,Black
Mr. Guzman,Mr. Bah,Hispanic,Black
Ms. Roth,Ms. Secody,White,Native
Ms. Wolfe,Mr. Belizaire,White,Black
Mr. Ko,Mr. Boyle,Asian,White
Ms. Blankenship,Ms. Lo,White,Asian
Ms. Walkingeagle,Mr. Wauneka,Native,Native
Mr. Obrien,Ms. Chiu,White,Asian
Mr. Hartman,Ms. Sexton,White,White
Mr. Gonzalez,Mr. Okeke,Hispanic,Black
Mr. Olsen,Mr. Pena,White,Hispanic
Mr. Diop,Mr. Vang,Black,Asian
Mr. Mayweather,Ms. Goldtooth,Black,Native
Ms. Guerrero,Ms. Obrien,Hispanic,White
Mr. Dougherty,Ms. Kidane,White,Black
Mr. Okeke,Mr. Orozco,Black,Hispanic
Ms. Kwon,Mr. Shaffer,Asian,White
Ms. Ortega,Mr. Balogun,Hispanic,Black
Ms. Attakai,Ms. Blankenship,Native,White
Mr. Xu,Mr. Mejia,Asian,Hispanic
Ms. Chung,Mr. Klein,Asian,White
Ms. Diaz,Mr. Alvarado,Hispanic,Hispanic
Ms. Njoroge,Ms. Yazzie,Black,Native
Mr. Barrera,Ms. Fobbs,Hispanic,Black
Mr. Beyale,Ms. Diaz,Native,Hispanic
Ms. Smalls,Mr. Do,Black,Asian
Mr. Wauneka,Ms. Bitsilly,Native,Native
Mr. Tapaha,Ms. Begay,Native,Native
Ms. Benally,Mr. Tsethlikai,Native,Native
Mr. Schultz,Mr. Reilly,White,White
Ms. Shen,Mr. Delgarito,Asian,Native
Mr. Lasiloo,Ms. Okoro,Native,Black
Mr. Madplume,Ms. Zhu,Native,Asian
Ms. Desir,Ms. Nielsen,Black,White
Mr. Vu,Ms. Keller,Asian,White
Mr. Rodriguez,Mr. Lu,Hispanic,Asian
Ms. Ng,Mr. Carrillo,Asian,Hispanic
Ms. Yoder,Ms. Maldonado,White,Hispanic
Mr. Bitsilly,Mr. Bienaime,Native,Black
Mr. Dorvil,Mr. Walkingeagle,Black,Native
Mr. Keller,Mr. Njoroge,White,Black
Mr. Rivas,Ms. Brennan,Hispanic,White
Mr. Hansen,Mr. Ndiaye,White,Black
Ms. Gishie,Mr. Chasinghawk,Native,Native
Mr. Jama,Mr. Mensah,Black,Black
Ms. Tessay,Mr. Moua,Native,Asian
Ms. Christensen,Mr. Secatero,White,Native
Mr. Diop,Mr. Huber,Black,White
Ms. Padilla,Mr. Santana,Hispanic,Hispanic
Mr. Petitfrere,Mr. Prioleau,Black,Black
Mr. Twobulls,Mr. Bitsie,Native,Native
Ms. Notafraid,Mr. Ruiz,Native,Hispanic
Ms. Wigfall,Ms. Werito,Black,Native
Ms. Tran,Ms. Decker,Asian,White
Mr. Petersen,Mr. Luong,White,Asian
Ms. Ng,Ms. Carrillo,Asian,Hispanic
Ms. Jeanpierre,Ms. Mehta,Black,Asian
Ms. Zimmerman,Mr. Molina,White,Hispanic
Mr. Swanson,Mr. Boykins,White,Black
Mr. Stfleur,Mr. Arcoren,Black,Native
Mr. Hansen,Ms. Nunez,White,Hispanic
Mr. Kang,Mr. Zhao,Asian,Asian
Mr. Manygoats,Ms. Wu,Native,Asian
Mr. Huang,Mr. Yeboah,Asian,Black
Ms. Wauneka,Ms. Chu,Native,Asian
Mr. Colelay,Mr. Ryan,Native,White
Mr. Sharma,Ms. Hess,Asian,White
Ms. Filsaime,Ms. Cheung,Black,Asian
Mr. Bitsilly,Ms. Cowboy,Native,Native
Mr. Calderon,Mr. Mwangi,Hispanic,Black
Mr. Keyonnie,Mr. Manygoats,Native,Native
Ms. Avila,Mr. Obrien,Hispanic,White
Mr. Kameroff,Mr. Ochoa,Native,Hispanic
Mr. Smalls,Ms. Do,Black,Asian
Mr. Benallie,Mr. Grandberry,Native,Black
Mr. Thai,Ms. Fofana,Asian,Black
Ms. Ayala,Ms. Hoang,Hispanic,Asian
Mr. Hardnett,Ms. Kanuho,Black,Native
Ms. Bigcrow,Ms. Declay,Native,Native
Mr. Castillo,Ms. Chinana,Hispanic,Native
Mr. Tesfaye,Ms. Pineda,Black,Hispanic
Mr. Vo,Ms. Bui,Asian,Asian
Mr. Cao,Ms. Keita,Asian,Black
Mr. Keller,Ms. Becker,White,White
Mr. Odonnell,Ms. Her,White,Asian
Mr. Filsaime,Ms. Stein,Black,White
Mr. Runningcrane,Ms. Okoro,Native,Black
Ms. Manigault,Mr. Ngo,Black,Asian
Mr. Xiong,Ms. Laughing,Asian,Native
Mr. Petersen,Ms. Luong,White,Asian
Ms. Stark,Mr. Zheng,White,Asian
Ms. Dominguez,Ms. Beck,Hispanic,White
Ms. Reilly,Mr. Jacobson,White,White
Mr. Carlson,Ms. Opoku,White,Black
Mr. Louissaint,Ms. Santana,Black,Hispanic
Ms. Koch,Ms. Han,White,Asian
Mr. Aguilar,Mr. Blueeyes,Hispanic,Native
Ms. Stein,Mr. Campos,White,Hispanic
Mr. Goseyun,Mr. Cardenas,Native,Hispanic
Ms. He,Mr. Avila,Asian,Hispanic
Ms. Owusu,Ms. Castillo,Black,Hispanic
Mr. Manuelito,Ms. Hu,Native,Asian
Ms. Tabaha,Mr. Guo,Native,Asian
Mr. Bedonie,Ms. Lozano,Native,Hispanic
Mr. Rasmussen,Ms. Whitehat,White,Native
Mr. Villarreal,Ms. Jacobson,Hispanic,White
Ms. Hoang,Mr. Beyene,Asian,Black
Ms. Beyene,Mr. Su,Black,Asian
Ms. Nunez,Ms. Figueroa,Hispanic,Hispanic
Mr. Ortiz,Ms. Klein,Hispanic,White
Ms. Yang,Mr. Laughing,Asian,Native
Mr. Keita,Ms. Ho,Black,Asian
Ms. Russo,Mr. Kwon,White,Asian
Mr. Manygoats,Ms. Jensen,Native,White
Ms. Gallagher,Ms. Vega,White,Hispanic
Ms. Olanna,Ms. Tessay,Native,Native
Mr. Larson,Ms. Ko,White,Asian
Mr. Lor,Ms. Tadesse,Asian,Black
Ms. Todacheene,Ms. Bui,Native,Asian
Ms. Ortiz,Mr. Tsinnie,Hispanic,Native
Ms. Huber,Ms. Ahasteen,White,Native
Ms. Howe,Mr. Tsinnijinnie,White,Native
Ms. Altaha,Mr. Ortiz,Native,Hispanic
Ms. Conteh,Mr. Tapaha,Black,Native
Ms. Castillo,Mr. Peck,Hispanic,White
Ms. Zhao,Mr. Ajayi,Asian,Black
Mr. Schneider,Mr. Prioleau,White,Black
Ms. Mccarthy,Mr. Kallestewa,White,Native
Ms. Hwang,Mr. Gao,Asian,Asian
Ms. Mohamud,Mr. Beyale,Black,Native
Ms. Notah,Ms. Rasmussen,Native,White
Mr. Bangura,Mr. Koroma,Black,Black
Mr. Kamara,Ms. Wu,Black,Asian
Mr. Chinana,Mr. Shije,Native,Native
Mr. Fluellen,Ms. Shaffer,Black,White
Ms. Diallo,Ms. Moyer,Black,White
Mr. Fry,Mr. Velasquez,White,Hispanic
Ms. Blankenship,Mr. Lo,White,Asian
Ms. Padilla,Ms. Santana,Hispanic,Hispanic
Ms. Opoku,Ms. Moyer,Black,White
Ms. Morales,Ms. Chery,Hispanic,Black
Mr. Nguyen,Ms. Schwartz,Asian,White
Ms. Mcmahon,Mr. Vu,White,Asian
Ms. Yepa,Mr. Vo,Native,Asian
Mr. Spottedhorse,Mr. Keyonnie,Native,Native
Ms. Stark,Mr. Blueeyes,White,Native
Mr. Robles,Mr. Louissaint,Hispanic,Black
Mr. Pena,Ms. Sharma,Hispanic,Asian
Mr. Phan,Mr. Blackgoat,Asian,Native
Ms. Luu,Mr. Hardnett,Asian,Black
Mr. Opoku,Ms. Barrera,Black,Hispanic
Ms. Cabrera,Mr. Adjei,Hispanic,Black
Mr. Kang,Mr. Abebe,Asian,Black
Ms. Etsitty,Mr. Bauer,Native,White
Ms. Parsons,Ms. Sesay,White,Black
Mr. Chasinghawk,Mr. Henio,Native,Native
Mr. Yu,Mr. Madplume,Asian,Native
Mr. Pham,Ms. Tsosie,Asian,Native
Ms. Diaz,Mr. Appiah,Hispanic,Black
Ms. Huang,Mr. Zhang,Asian,Asian
Ms. Fry,Ms. Guo,White,Asian
Ms. Rodriguez,Mr. Tsethlikai,Hispanic,Native
Mr. Saintlouis,Ms. Rojas,Black,Hispanic
Ms. Madplume,Mr. Ojo,Native,Black
Ms. Talayumptewa,Mr. Mueller,Native,White
Ms. Whiteplume,Ms. Laughing,Native,Native
Mr. Diaz,Mr. Mccarthy,Hispanic,White
Ms. Shen,Ms. Asante,Asian,Black
Mr. Olanna,Mr. Tessay,Native,Native
Ms. Rangel,Mr. Pham,Hispanic,Asian
Mr. Yang,Ms. Sun,Asian,Asian
Ms. Maldonado,Ms. Roth,Hispanic,White
Ms. Kallestewa,Ms. Salazar,Native,Hispanic
Mr. Leaks,Ms. Traore,Black,Black
Mr. Etsitty,Mr. Castaneda,Native,Hispanic
Mr. Becenti,Mr. Trevino,Native,Hispanic
Ms. Solis,Ms. Adjei,Hispanic,Black
Ms. Erickson,Mr. Wigfall,White,Black
Mr. Chiu,Ms. Tan,Asian,Asian
Ms. Weiss,Ms. Littlelight,White,Native
Mr. Gishie,Mr. Hahn,Native,White
Mr. Lozano,Mr. Sanchez,Hispanic,Hispanic
Mr. Luu,Mr. Weiss,Asian,White
Mr. Begay,Ms. Bauer,Native,White
Ms. Standingrock,Ms. Klein,Native,White
Ms. Dayzie,Mr. Padilla,Native,Hispanic
